embedding_feature,mse,r2,n_vars_used,used_vars
feature_51807,0.0005744906187990883,0.5021571875884028,25,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc3_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc1v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_120495,0.0006407387345546754,0.03970352771973307,18,"['f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc2_sma3_amean', 'mfcc3_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean']"
feature_103304,0.0007185190280455598,0.036949859469209256,25,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc4_sma3_amean', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_118278,0.0007626884444173187,0.01978689100679265,20,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_42545,0.0007639068216326957,0.3651170538943117,16,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc1_sma3_amean', 'mfcc4_sma3_stddevnorm', 'f1frequency_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_35902,0.0007975937746591991,0.16348911661042942,18,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc1_sma3_amean', 'mfcc2_sma3_amean', 'logrelf0-h1-h2_sma3nz_amean', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm']"
feature_47595,0.000821721717400445,0.04689765600475149,9,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_120634,0.0008803494906827981,0.11989133752853176,20,"['f0semitonefrom27.5hz_sma3nz_percentile80.0', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc3_sma3_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc1v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm', 'equivalentsoundlevel_dbp']"
feature_10682,0.0009183092968598229,0.019185844768868088,10,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_90371,0.0009987277119427311,0.0,1,['f3frequency_sma3nz_amean']
